,NIP,Cl_T9
354,N201803500,4
355,N201803561,2
356,N201803567,2
357,N201803632,2
358,N201803635,2
359,N201803645,4
360,N201803672,2
361,N201803679,2
362,N201803684,2
363,N201803721,2
364,N201803763,2
365,N201803770,4
366,N201803775,4
367,N201803788,2
368,N201803799,1
369,N201803804,2
370,N201803826,0
371,N201803896,2
372,N201803904,0
373,N201803976,4
374,N201803999,0
375,N201804085,4
376,N201804104,0
377,N201804119,0
378,N201804153,0
379,N201804171,0
380,N201804215,2
381,N201804221,0
382,N201804229,0
383,N201804317,1
384,N201804329,0
385,N201804362,0
386,N201804388,4
387,N201804398,0
388,N201804400,4
389,N201804401,0
390,N201804420,4
391,N201804565,0
392,N201804566,0
393,N201804570,0
394,N201804586,0
395,N201804618,0
396,N201804632,0
397,N201804637,0
398,N201804656,1
399,N201804663,4
400,N201804681,0
401,N201804697,0
402,N201804723,0
403,N201804738,4
404,N201804739,0
405,N201804761,0
406,N201804767,0
407,N201804871,0
408,N201804914,0
409,N201804923,4
410,N201804955,0
411,N201804956,0
412,N201804973,0
413,N201805059,0
414,N201805065,0
415,N201805100,0
416,N201805109,4
417,N201805111,0
418,N201805117,0
419,N201805127,0
420,N201805132,4
421,N201805133,0
422,N201805166,0
423,N201805169,0
424,N201805195,4
425,N201805196,0
426,N201805209,0
427,N201805242,0
428,N201805250,0
429,N201805251,0
430,N201805263,4
431,N201805272,0
432,N201805284,4
433,N201805285,4
434,N201805301,1
435,N201805304,0
436,N201805313,0
437,N201805343,0
438,N201805357,1
439,N201805364,0
440,N201805448,0
441,N201805463,0
442,N201805471,1
443,N201805486,0
444,N201805499,0
445,N201805502,0
446,N201805561,0
447,N201805579,0
448,N201805589,0
449,N201805591,0
450,N201805647,1
451,N201805723,0
452,N201805724,0
453,N201805745,0
454,N201805746,0
455,N201805750,0
456,N201805760,0
457,N201805782,0
458,N201805787,0
459,N201805789,0
460,N201805831,0
461,N201805880,0
462,N201805884,4
463,N201805900,0
464,N201805928,0
465,N201805931,0
466,N201805934,4
467,N201805939,4
468,N201805962,1
469,N201805966,0
470,N201805973,4
471,N201805992,0
472,N201806034,0
473,N201806047,4
474,N201806067,0
475,N201806070,0
476,N201806114,1
477,N201806116,0
478,N201806148,0
479,N201806159,4
480,N201806174,0
481,N201806183,0
482,N201806193,0
483,N201806197,0
484,N201806241,0
485,N201806254,0
486,N201806256,0
487,N201806271,1
488,N201806283,0
489,N201806287,0
490,N201806295,0
491,N201806314,4
492,N201806335,0
493,N201806343,4
494,N201806345,4
495,N201806365,4
496,N201806370,4
497,N201806407,0
498,N201806418,1
499,N201806419,0
500,N201806425,0
501,N201806433,0
502,N201806441,0
503,N201806442,0
504,N201806459,0
505,N201806465,4
506,N201806478,0
507,N201806479,0
508,N201806486,4
509,N201806488,0
510,N201806491,0
511,N201806496,0
512,N201806500,0
513,N201806507,0
514,N201806512,0
515,N201806524,0
516,N201806528,1
517,N201806548,4
518,N201806561,0
519,N201806566,4
520,N201806567,0
521,N201806569,0
522,N201806582,4
523,N201806586,0
524,N201806589,0
525,N201806591,0
526,N201806595,0
527,N201806601,0
528,N201806606,4
529,N201806627,0
530,N201806628,0
531,N201806643,1
532,N201806679,0
533,N201806682,0
534,N201806690,0
535,N201806717,4
536,N201806718,0
537,N201806731,1
538,N201806746,4
539,N201806753,0
540,N201806789,0
541,N201806798,0
542,N201806805,0
543,N201806854,0
544,N201806883,0
545,N201806902,4
546,N201806908,0
547,N201806931,0
548,N201806940,0
549,N201806946,4
550,N201807023,4
551,N201807030,3
552,N201807036,0
553,N201807038,0
554,N201807048,0
555,N201807061,0
556,N201807064,0
557,N201807068,1
558,N201807105,4
559,N201807130,0
560,N201807157,0
561,N201807177,0
562,N201807179,0
563,N201807197,0
564,N201807215,0
565,N201807220,0
566,N201807288,0
567,N201807295,1
568,N201807316,1
569,N201807350,1
570,N201807368,0
571,N201807376,4
572,N201807410,0
573,N201807435,0
574,N201807436,0
575,N201807452,4
576,N201900001,1
577,N201900002,0
578,N201900003,1
579,N201900004,0
580,N201900005,1
581,N201900006,0
582,N201900007,4
583,N201900008,1
584,N201900009,1
585,N201900010,1
586,N201900011,1
587,N201900012,1
588,N201900013,1
589,N201900014,1
590,N201900015,0
591,N201900016,0
592,N201900017,0
